address,avgspeed,carport,lat,lon,pk,totalvol,time
中正路百齡橋頭中央分隔島號誌(往士林方向,57,4,25.088343,121.511909,VV9GE20,22,2015-11-20 02:46:22.103
華中橋出城(萬大路,45,2,25.020129,121.497778,VENCU40,17,2015-11-20 02:46:22.103
長春上與長安上匝道,69,3,25.051768,121.536466,V1240E0,32,2015-11-20 02:46:22.103
復興南路一段103號前,28,6,25.044085,121.543747,VJHM700,12,2015-11-20 02:46:22.103
瑞光路與瑞光路120巷1-20號(嘉新尊皇,70,2,25.07252,121.580379,VRGUF00,7,2015-11-20 02:46:22.103
溪州街123巷口(上層,53,3,24.992049,121.533413,V42C0E0,18,2015-11-20 02:46:22.103
研究院路2段35號前,39,1,25.045685,121.615167,VKP4L00,1,2015-11-20 02:46:22.103
忠孝東路六段378號前,40,4,25.049931,121.592136,VLEWX20,12,2015-11-20 02:46:22.103
水源路11-1號天橋旁自立桿,36,2,25.013938,121.533974,VDTJT00,6,2015-11-20 02:46:22.103
忠誠路一段147巷對面人行道,40,3,25.106692,121.529547,VYLJ620,7,2015-11-20 02:46:22.103
龍江路149巷口對面,39,2,25.053685,121.540578,VLQLI40,8,2015-11-20 02:46:22.103
麥二舊宗,52,2,25.054525,121.57639,V6140C0,16,2015-11-20 02:46:22.103
愛國東路72號對面人行道上,0,2,25.033735,121.519711,VHSH560,0,2015-11-20 02:46:22.103
麥二舊宗,72,2,25.054569,121.576598,V6140C1,18,2015-11-20 02:46:22.103
水源與辛亥下匝道,73,2,25.016685,121.543824,V2110C0,21,2015-11-20 02:46:22.103
